YEARMODA,Alabama temperature,Alaska temperature
20190110,43.3,13
20190111,41.7,4
20190112,48.7,1
20190113,54.8,19
20190114,45.3,27
20190115,42.9,23
20190116,41.7,23
20190117,42.3,25
20190118,55.9,17
20190119,59.4,12
20190120,42.3,8
20190121,35,9
20190122,41,21
20190123,60,31
20190124,45.8,34
20190125,39.8,38
20190126,39.9,37
20190127,42.9,32
20190128,44.3,32
20190129,46.4,34
20190130,34.2,35
20190131,38.7,30
20190201,44.5,18
20190202,58.7,16
20190203,60.7,17
20190204,57,23
20190205,67.3,25
20190206,69.7,27
20190207,68.8,25
20190208,60.9,26
20190209,47.7,30
20190210,53.2,27
20190211,56.4,21
20190212,64.5,31
20190213,50.1,22
20190214,47.6,18
20190215,59.3,10
20190216,65.4,13
20190217,63.9,23
20190218,59.5,35
20190219,51.8,30
20190220,54.4,20
20190221,70,22
20190222,74.3,21
20190223,74,16
20190224,68.3,15
20190225,52,15
20190226,58.5,15
20190227,64.8,16
20190228,64.5,17
20190301,65.9,19
